tipoFundo;denominacao;instrucaoCVM
FACFIF;FUNDOS DE APLICAÇÃO EM COTAS DE FUNDOS DE INVESTIMENTO;
FAPI;FUNDOS DE APOSENTADORIA PROGRAMADA INDIVIDUAL;
FCCE;FUNDOS DE CONVERSÃO DE CAPITAL ESTRANGEIRO;CVM 91
FCCE-AI;FUNDOS DE CONVERSÃO DE CAPITAL ESTRANGEIRO ÁREAS INCENTIVADAS;CVM 91
FI;FUNDOS DE INVESTIMENTO ICVM 555;
FI-FGTS;FUNDOS DE INVESTIMENTO FGTS;
FIC-FITVM;FUNDOS DE INVESTIMENTO EM COTAS DE FITVM;
FICART;FUNDOS DE INVESTIMENTO CULTURAL E ARTÍSTICO;
FICE;FUNDOS DE INVESTIMENTO - CAPITAL ESTRANGEIRO;
FIDC;FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;
FIEX;FUNDOS DE INVESTIMENTO NO EXTERIOR;
FIF;FUNDOS DE INVESTIMENTO FINANCEIRO;
FIDFDIV;FUNDOS DE INVESTIMENTO FINANCEIRO DIVIDA ESTADO/MUNICIPIO;
FII;FUNDOS DE INVESTIMENTO IMOBILIÁRIO;
FIIM;FUNDOS DE INVESTIMENTO EM ÍNDICE DE MERCADO;
FIP;FUNDOS DE INVESTIMENTO EM PARTICIPAÇÕES;
FITVM;FUNDOS DE INVESTIMENTO EM TÍTULOS E VALORES MOBILIÁRIOS;
FMAI;FUNDOS MÚTUOS DE AÇÕES INCENTIVADAS;
FMIA;FUNDOS MÚTUOS DE INVESTIMENTO EM AÇÕES;
FMIA-CL;FUNDOS MÚTUOS DE INVESTIMENTO EM AÇÕES CARTEIRA LIVRE;
FMIEE;FUNDOS MÚTUOS DE INVESTIMENOS EM EMPRESAS EERGENTES;
FMP-FGTS;FUNDOS MÚTUOS DE PRIVATIZAÇÃO FGTS;CVM 215
FMP-FGTS CL;FUNDOS MÚTUOS DE PRIVATIZAÇÃO FGTS CARTEIRA LIVRE;CVM 215
FPCE;FUNDOS DE PRIVATIZAÇÃO - CAPITAL ESTRANGEIRO;
FPDS;FUNDOS PRIVADOS DS;
FUNCINE;FUNDOS FINANCIAMENTOS DA INDÚSTRIA CINEMATOGRÁFICA NACIONAL;
